epoch,loss,lr,val_loss
0,0.00023466881248168647,1e-04,9.633799345465377e-05
1,4.6917280997149646e-05,1e-04,3.618758637458086e-05
2,2.762037365755532e-05,1e-04,2.7336620405549183e-05
3,1.8596618247102015e-05,1e-04,3.676596315926872e-05
4,1.4227041901904158e-05,1e-04,3.782496423809789e-05
5,1.0397126061434392e-05,1e-04,3.8965554267633706e-05
6,5.630922260024818e-06,1e-04,3.8516118365805596e-05
7,3.410787257962511e-06,1e-04,3.366348391864449e-05
8,1.56204987433739e-06,5e-05,3.2747779187047854e-05
9,1.283893539039127e-06,5e-05,3.391435166122392e-05
10,1.1377226201148005e-06,5e-05,3.4482425689930096e-05
11,9.98606083157938e-07,5e-05,3.159366315230727e-05
12,8.948146614784491e-07,5e-05,3.365484735695645e-05
13,8.439366752099886e-07,5e-05,3.4231008612550795e-05
14,8.718116646377894e-07,5e-05,3.512791226967238e-05
15,7.196875912995893e-07,2.5e-05,3.249889050493948e-05
16,6.908168757036037e-07,2.5e-05,3.2832012948347256e-05
17,6.725620664838061e-07,2.5e-05,3.4042412153212354e-05
18,6.41211897800531e-07,2.5e-05,3.407019903534092e-05
19,6.091160571486398e-07,2.5e-05,3.39431717293337e-05
20,6.115893711466924e-07,2.5e-05,3.461872256593779e-05
21,5.967796710137918e-07,2.5e-05,3.2140327675733715e-05
22,5.569062295762706e-07,1.25e-05,3.3016247471095994e-05
